RAT_ID	SESSION	BOX	GROUP	SEX	Correct	Cor_15	Cor_30	Incorrect	Timeout	Norm_TO	Lev_Discrimination	Lat_1st	Lat_3rd	Lat_5th	Load_Lat3	Load_Lat5	Burst_Episodes	Avg_Burst_Presses	Avg_Burst_Duration	Burst_Infusions	Burst_Ratio	Avg_Inter_Burst_Interval	Avg_Inter_Inf_Interval
RAT9	LGA1	4	OXY	F	0	0	0	10	0	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0	NaN	NaN	NaN
RAT11	LGA1	5	OXY	F	132	6	8	0	182	1.37878787878788	100	0.751333333333333	2.2215	5.28683333333333	1.47016666666667	4.5355	16	5.125	2.43057291666667	82	62.1212121212121	40.9286666666667	5.4647582697201
RAT15	LGA1	6	OXY	F	113	9	12	22	131	1.15929203539823	83.7037037037037	0.252666666666667	1.26	1.97883333333333	1.00733333333333	1.72616666666667	8	3.625	1.56972916666667	29	25.6637168141593	60.4237619047619	6.42093601190476
RAT10	LGA1	9	SAL	F	24	0	0	36	15	0.625	40	68.1386666666667	188.287833333333	248.1775	120.149166666667	180.038833333333	0	NaN	NaN	0	0	NaN	26.4782463768116
RAT12	LGA1	10	SAL	F	166	3	3	10	112	0.674698795180723	94.3181818181818	0.0503333333333333	8.84733333333333	135.602666666667	8.797	135.552333333333	23	4.30434782608696	2.14149275362319	99	59.6385542168675	19.6995075757576	4.2297797979798
RAT14	LGA1	11	SAL	F	40	0	0	12	27	0.675	76.9230769230769	308.256166666667	376.017	434.657666666667	67.7608333333333	126.4015	3	5.33333333333333	3.01927777777778	16	40	3.35116666666667	12.1771794871795
RAT24	LGA1	8	SAL	F	226	12	24	35	105	0.464601769911504	86.5900383141762	0.013	1.11566666666667	2.666	1.10266666666667	2.653	32	4.65625	2.503	149	65.929203539823	19.5762688172043	3.14251851851852
RAT26	LGA1	9	SAL	F	276	6	10	82	129	0.467391304347826	77.0949720670391	0.0211666666666667	5.07283333333333	8.86733333333333	5.05166666666667	8.84616666666667	40	3.65	1.84543333333333	146	52.8985507246377	16.0539487179487	2.61030424242424
RAT27	LGA1	10	SAL	F	58	5	6	28	15	0.258620689655172	67.4418604651163	0.297166666666667	2.67566666666667	11.5765	2.3785	11.2793333333333	1	4	2.703	4	6.89655172413793	NaN	12.5749093567251
RAT32	LGA1	11	SAL	F	106	3	3	30	40	0.377358490566038	77.9411764705882	0.1975	2.23283333333333	67.2721666666667	2.03533333333333	67.0746666666667	7	3.14285714285714	1.60754761904762	22	20.7547169811321	44.8426944444444	6.74167936507936
RAT25	LGA1	1	OXY	F	71	3	14	59	220	3.09859154929577	54.6153846153846	1.90933333333333	14.0063333333333	21.037	12.097	19.1276666666667	5	7.6	3.3213	38	53.5211267605634	38.2739166666667	10.0073023809524
RAT28	LGA1	2	OXY	F	160	12	13	16	99	0.61875	90.9090909090909	0.117333333333333	1.211	4.12516666666667	1.09366666666667	4.00783333333333	16	5.3125	3.02525	85	53.125	37.3892666666667	4.40232180293501
RAT29	LGA1	3	OXY	F	98	3	6	10	177	1.80612244897959	90.7407407407407	1.11033333333333	8.6295	26.0405	7.51916666666667	24.9301666666667	7	4.57142857142857	2.02397619047619	32	32.6530612244898	87.1810555555555	7.39277491408935
RAT30	LGA1	4	OXY	F	113	7	7	3	133	1.17699115044248	97.4137931034483	0.170833333333333	1.31633333333333	2.13933333333333	1.1455	1.9685	8	3.5	1.30735416666667	28	24.7787610619469	94.0139047619048	6.42452232142857
RAT31	LGA1	5	OXY	F	114	7	14	0	267	2.34210526315789	100	0.0135	0.823166666666667	5.38183333333333	0.809666666666667	5.36833333333333	11	3.54545454545455	1.11812121212121	39	34.2105263157895	67.6603333333333	6.26166519174041
RAT33	LGA1	6	OXY	F	121	8	11	12	94	0.776859504132231	90.9774436090226	0.245	2.70283333333333	6.078	2.45783333333333	5.833	8	4.125	2.2695	33	27.2727272727273	98.0345476190476	5.98812638888889
RAT34	LGA1	7	OXY	F	144	9	12	37	172	1.19444444444444	79.5580110497238	0.0326666666666667	1.89333333333333	3.03366666666667	1.86066666666667	3.001	11	4.27272727272727	2.14989393939394	47	32.6388888888889	65.74035	4.93995104895105
RAT3	LGA10	4	OXY	M	200	7	18	51	1101	5.505	79.6812749003984	0.0101666666666667	1.05533333333333	2.38966666666667	1.04516666666667	2.3795	22	6	2.90506060606061	132	66	30.7429682539683	3.56539530988275
RAT5	LGA10	5	OXY	M	239	3	5	65	277	1.15899581589958	78.6184210526316	0.605333333333333	1.4675	27.2928333333333	0.862166666666667	26.6875	21	5.38095238095238	2.71663492063492	113	47.2803347280335	32.25525	2.95022829131653
RAT6	LGA10	6	OXY	M	71	3	3	26	55	0.774647887323944	73.1958762886598	1.69816666666667	3.643	84.5475	1.94483333333333	82.8493333333333	2	3	1.6455	6	8.45070422535211	285.690833333333	10.1760952380952
RAT8	LGA10	7	OXY	M	241	6	7	101	619	2.56846473029046	70.4678362573099	0.382166666666667	1.07833333333333	5.97016666666667	0.696166666666667	5.588	26	5.26923076923077	2.29807692307692	137	56.8464730290456	26.01752	2.98852430555556
RAT1	LGA10	9	SAL	M	29	1	1	6	10	0.344827586206897	82.8571428571429	0.876166666666667	210.048833333333	232.6525	209.172666666667	231.776333333333	1	5	2.80816666666667	5	17.2413793103448	NaN	24.9263511904762
RAT2	LGA10	10	SAL	M	31	6	6	6	9	0.290322580645161	83.7837837837838	0.1775	1.14633333333333	4.50033333333333	0.968833333333333	4.32283333333333	2	3	1.13883333333333	6	19.3548387096774	2.54733333333333	23.4139611111111
RAT4	LGA10	11	SAL	M	15	0	0	1	0	0	93.75	64.304	273.623333333333	295.216333333333	209.319333333333	230.912333333333	0	NaN	NaN	0	0	NaN	45.8455714285714
RAT7	LGA10	12	SAL	M	20	3	3	3	3	0.15	86.9565217391304	0.0258333333333333	1.06616666666667	130.961833333333	1.04033333333333	130.936	1	3	1.04033333333333	3	15	NaN	36.9609122807017
RAT17	LGA10	1	OXY	M	207	2	3	16	25	0.120772946859903	92.8251121076233	0.251166666666667	20.3566666666667	53.159	20.1055	52.9078333333333	38	3.94736842105263	2.07233771929825	150	72.463768115942	8.96905855855856	3.33391100323625
RAT19	LGA10	2	OXY	M	219	8	14	18	2485	11.3470319634703	92.4050632911392	0.0163333333333333	6.00183333333333	11.1903333333333	5.9855	11.174	15	9.86666666666667	3.33654444444444	148	67.5799086757991	32.1684523809524	3.2086743119266
RAT20	LGA10	3	OXY	M	212	3	4	20	91	0.429245283018868	91.3793103448276	0.242833333333333	12.05	36.5618333333333	11.8071666666667	36.319	14	4.07142857142857	2.47397619047619	57	26.8867924528302	43.3865897435897	3.40312796208531
RAT21	LGA10	4	OXY	M	250	5	15	412	2978	11.912	37.7643504531722	0.0208333333333333	9.72133333333333	14.9253333333333	9.7005	14.9045	27	7.85185185185185	3.37696296296296	212	84.8	9.55014102564103	2.86713922356091
RAT16	LGA10	8	SAL	M	23	2	4	11	4	0.173913043478261	67.6470588235294	0.366333333333333	19.2931666666667	79.0426666666667	18.9268333333333	78.6763333333333	0	NaN	NaN	0	0	NaN	31.7231742424242
RAT23	LGA10	9	SAL	M	22	3	3	1	5	0.227272727272727	95.6521739130435	0.516833333333333	2.9325	105.056666666667	2.41566666666667	104.539833333333	0	NaN	NaN	0	0	NaN	34.1311111111111
RAT9	LGA10	4	OXY	F	197	2	3	9	45	0.228426395939086	95.631067961165	0.914	23.2475	78.3426666666667	22.3335	77.4286666666667	25	3.68	1.81060666666667	92	46.7005076142132	21.3641875	3.61764030612245
RAT11	LGA10	5	OXY	F	233	3	4	0	103	0.44206008583691	100	0.320333333333333	1.45883333333333	38.3526666666667	1.1385	38.0323333333333	34	4.35294117647059	2.38912254901961	148	63.519313304721	19.0710353535353	3.06282040229885
RAT15	LGA10	6	OXY	F	264	2	2	2750	285	1.07954545454545	8.75912408759124	0.831666666666667	43.239	68.8293333333333	42.4073333333333	67.9976666666667	38	5.15789473684211	2.80464912280702	196	74.2424242424242	10.1454279279279	2.69326425855513
RAT10	LGA10	9	SAL	F	37	4	4	6	1	0.027027027027027	86.046511627907	1.52983333333333	2.6465	58.749	1.11666666666667	57.2191666666667	3	3	1.42527777777778	9	24.3243243243243	134.383416666667	19.16525
RAT12	LGA10	10	SAL	F	18	2	2	5	3	0.166666666666667	78.2608695652174	0.275666666666667	53.5888333333333	176.367833333333	53.3131666666667	176.092166666667	0	NaN	NaN	0	0	NaN	41.198931372549
RAT14	LGA10	11	SAL	F	37	5	5	2	8	0.216216216216216	94.8717948717949	0.7215	2.02283333333333	10.1091666666667	1.30133333333333	9.38766666666667	1	3	1.30133333333333	3	8.10810810810811	NaN	19.1636296296296
RAT25	LGA10	1	OXY	F	244	3	4	120	309	1.26639344262295	67.032967032967	1.52366666666667	2.42466666666667	38.8968333333333	0.901	37.3731666666667	33	5.24242424242424	2.72422222222222	173	70.9016393442623	10.9857708333333	2.89745404663923
RAT28	LGA10	2	OXY	F	209	6	6	17	282	1.34928229665072	92.4778761061947	0.02	3.67866666666667	8.02283333333333	3.65866666666667	8.00283333333333	22	5.72727272727273	3.0947803030303	126	60.2870813397129	25.8079365079365	3.36730608974359
RAT29	LGA10	3	OXY	F	196	2	3	135	56	0.285714285714286	59.214501510574	0.367833333333333	26.1438333333333	57.741	25.776	57.3731666666667	27	3.92592592592593	2.26598148148148	106	54.0816326530612	13.2831730769231	3.33157264957265
RAT30	LGA10	4	OXY	F	174	3	8	30	63	0.362068965517241	85.2941176470588	0.382	4.0255	22.5056666666667	3.6435	22.1236666666667	23	3.34782608695652	1.65734057971015	77	44.2528735632184	29.0020075757576	4.14429865125241
RAT31	LGA10	5	OXY	F	119	7	11	0	45	0.378151260504202	100	0.0581666666666667	1.797	7.01766666666667	1.73883333333333	6.9595	9	3.66666666666667	2.12896296296296	33	27.7310924369748	83.5613125	6.05762005649717
RAT33	LGA10	6	OXY	F	288	6	13	17	210	0.729166666666667	94.4262295081967	0.517666666666667	1.334	6.5675	0.816333333333333	6.04983333333333	39	5.94871794871795	3.37469658119658	232	80.5555555555556	10.6023815789474	2.27694308943089
RAT34	LGA10	7	OXY	F	227	8	13	132	205	0.903083700440529	63.2311977715877	0.508833333333333	3.04983333333333	10.3708333333333	2.541	9.862	31	3.87096774193548	1.78845161290323	120	52.863436123348	20.8697111111111	3.12647566371681
RAT24	LGA10	8	SAL	F	33	5	5	8	9	0.272727272727273	80.4878048780488	0.202833333333333	4.52916666666667	7.89733333333333	4.32633333333333	7.6945	1	4	1.3855	4	12.1212121212121	NaN	22.451375
RAT26	LGA10	9	SAL	F	37	1	1	7	4	0.108108108108108	84.0909090909091	0.0338333333333333	63.1553333333333	68.6708333333333	63.1215	68.637	1	3	1.12383333333333	3	8.10810810810811	NaN	19.9272685185185
RAT27	LGA10	10	SAL	F	25	2	3	8	4	0.16	75.7575757575758	0.2625	17.1418333333333	149.892333333333	16.8793333333333	149.629833333333	1	3	2.04983333333333	3	12	NaN	27.7682152777778
RAT32	LGA10	11	SAL	F	25	1	1	5	1	0.04	83.3333333333333	1.80433333333333	179.475166666667	284.489	177.670833333333	282.684666666667	2	3	0.979666666666667	6	24	81.0036666666667	28.901
